id_zcosmos,zpec,cc,alpha,delta,mag_sel,id_photzi25,fuv_photzi25,nuv_photzi25,u_photzi25,eu_photzi25,b_photzi25,eb_photzi25,v_photzi25,ev_photzi25,g_photzi25,eg_photzi25,r_photzi25,er_photzi25,i_photzi25,ei_photzi25,z_photzi25,ez_photzi25,j_photzi25,ej_photzi25,k_photzi25,ek_photzi25,ic_photzi25,efuv_photzi25,enuv_photzi25,eic_photzi25,flag_maskb_photzi25,flag_maskv_photzi25,flag_maski_photzi25,flag_maskz_photzi25,flag_maskd_photzi25
847368,0.5178,2.5,149.834793,2.787187,21.77,1712217,-99,-99,26.048,0.189,24.948,0.077,23.801,0.037,24.768,0.061,22.923,0.024,22.098,0.016,21.529,0.014,20.955,0.011,19.97,0.01,22.124,-99,-99,0.096,0,0,0,0,0
847371,0.2687,2.5,149.834564,2.696934,21.73,1724623,26.4316044397387,-99,25.115,0.082,23.998,0.047,22.839,0.022,23.789,0.036,22.398,0.018,21.917,0.014,21.596,0.015,21.618,0.02,20.601,0.017,21.9,0.542,-99,0.069,0,0,0,0,0
847372,0.0,4.4,149.834427,2.643672,21.12,1733040,25.5856044397387,23.7926044397387,24.024,0.042,23.385,0.035,22.857,0.023,23.459,0.031,22.348,0.018,21.375,0.011,20.51,0.01,20.085,0.01,19.79,0.01,21.188,0.219,0.09,0.033,0,0,0,0,0
847378,0.4381,3.5,149.833115,2.682773,21.8,1727140,24.6236044397387,23.6296044397387,23.831,0.038,23.316,0.033,22.811,0.022,23.465,0.03,22.478,0.019,22.203,0.016,21.969,0.019,22.48,0.04,21.427,0.034,22.178,0.096,0.069,0.088,0,0,0,0,0
847387,0.3066,3.5,149.831528,2.675711,20.29,1727303,-99,25.5506044397387,23.511,0.032,22.384,0.021,21.349,0.011,22.256,0.017,20.959,0.01,20.619,0.01,20.252,0.01,20.084,0.01,19.46,0.01,20.525,-99,0.324,0.02,0,0,0,0,0
847388,0.8866,3.5,149.831146,2.658152,21.54,1730826,-99,26.8046044397387,25.598,0.111,25.083,0.089,23.963,0.042,25.006,0.073,23.211,0.027,21.906,0.014,21.163,0.011,20.846,0.012,19.887,0.01,21.91,-99,1.038,0.063,0,0,0,0,0
847389,0.3196,3.5,149.8311,2.691334,19.86,1725771,25.0696044397387,23.7346044397387,23.082,0.026,22.217,0.02,21.212,0.01,22.059,0.015,20.873,0.01,20.432,0.01,19.985,0.01,19.681,0.01,18.796,0.01,20.399,0.198,0.075,0.018,0,0,0,0,0
847391,0.7019,3.5,149.830322,2.680246,20.85,1727484,-99,28.7006044397387,25.519,0.107,24.532,0.063,23.22,0.028,24.328,0.049,22.478,0.019,21.29,0.011,20.727,0.01,20.258,0.01,19.309,0.01,21.261,-99,7.752,0.039,0,0,0,0,0
847395,0.5161,2.5,149.830048,2.782919,22.23,1712472,-99,24.4676044397387,24.351,0.056,23.797,0.043,23.404,0.03,23.973,0.04,22.94,0.024,22.505,0.02,22.281,0.025,22.246,0.025,21.586,0.037,22.511,-99,0.133,0.135,0,0,0,0,0
847397,0.669,2.5,149.829254,2.658689,21.2,1730828,27.2016044397387,24.3226044397387,24.397,0.052,23.64,0.04,23.045,0.025,23.668,0.034,22.395,0.018,21.566,0.012,21.094,0.011,20.926,0.012,19.657,0.01,21.554,1.047,0.131,0.048,0,0,0,0,0
847400,0.8865,3.5,149.828522,2.657235,21.67,1730822,27.4236044397387,27.2046044397387,25.856,0.131,24.996,0.082,23.907,0.041,25.022,0.073,23.114,0.026,21.961,0.015,21.21,0.012,20.825,0.011,19.904,0.01,21.938,1.026,2.144,0.067,0,0,0,0,0
847403,0.2476,4.5,149.827835,2.630985,20.68,1734857,-99,-99,22.934,0.024,22.149,0.019,21.485,0.012,22.107,0.016,21.317,0.011,21.001,0.01,20.785,0.01,20.727,0.01,20.214,0.012,20.967,-99,-99,0.027,0,0,0,0,0
847405,0.3202,4.5,149.82692,2.683135,20.74,1727061,23.3966044397387,22.8106044397387,22.978,0.025,22.365,0.021,21.71,0.013,22.362,0.018,21.48,0.012,21.216,0.01,20.904,0.01,20.777,0.011,20.301,0.013,21.194,0.059,0.031,0.035,0,0,0,0,0
847406,0.6973,3.5,149.826553,2.720923,21.6,1721525,27.6626044397387,23.8796044397387,23.787,0.038,23.228,0.032,22.965,0.025,23.331,0.029,22.588,0.021,21.875,0.015,21.601,0.018,21.589,0.019,20.646,0.018,21.812,1.939,0.085,0.06,0,0,0,0,0
847407,0.0,4.4,149.826492,2.718026,16.72,1722244,26.0026044397387,24.4686044397387,20.339,0.01,18.618,0.01,-99.9,-99.9,18.503,0.01,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,15.778,0.01,-99.9,-99.9,16.399,0.397,0.124,0.01,0,7,7,7,0
